"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"IC02_01"	"ZB01_CP"	"ZB01x01"	"ZB01x02"	"ZB01x03"	"ZB01x04"	"ZB01x05"	"ZB01x06"	"ZB01x07"	"ZB01x08"	"ZB01x09"	"ZB01x10"	"BE01_01"	"BE02_01"	"BE03_01"	"BE04_01"	"BE05_01"	"BE06_01"	"BE07_01"	"BE08_01"	"BE09_01"	"BE10_01"	"BE11_01"	"BE12_01"	"BE13_01"	"BE14_01"	"BE15_01"	"BE16_01"	"BE17_01"	"BE18_01"	"BE19_01"	"BE20_01"	"BE21_01"	"BE22_01"	"BE23_01"	"BE24_01"	"BE25_01"	"BE26_01"	"BE27_01"	"BE28_01"	"BE29_01"	"BE30_01"	"BE31_01"	"BE32_01"	"BE33_01"	"BE34_01"	"BE35_01"	"BE36_01"	"BE37_01"	"BE38_01"	"BE39_01"	"BE40_01"	"BE41_01"	"BE42_01"	"BE43_01"	"BE44_01"	"BE45_01"	"BE46_01"	"BE47_01"	"BE48_01"	"BE49_01"	"BE50_01"	"BE51_01"	"BE52_01"	"BE53_01"	"BE54_01"	"BE55_01"	"BE56_01"	"BE57_01"	"BE58_01"	"BE59_01"	"BE60_01"	"BE61_01"	"BE62_01"	"BE63_01"	"BE64_01"	"BE65_01"	"BE66_01"	"BE67_01"	"BE68_01"	"BE69_01"	"BE70_01"	"BE71_01"	"BE72_01"	"BE73_01"	"BE74_01"	"BE75_01"	"BE76_01"	"ER01_01"	"ER02_01"	"ER03_01"	"ER04_01"	"ER05_01"	"ER06_01"	"ER07_01"	"ER08_01"	"ER09_01"	"ER10_01"	"ER11_01"	"ER12_01"	"ER13_01"	"ER14_01"	"ER15_01"	"ER16_01"	"ER17_01"	"ER18_01"	"ER19_01"	"ER20_01"	"ER21_01"	"ER22_01"	"ER23_01"	"ER24_01"	"ER25_01"	"ER26_01"	"ER27_01"	"ER28_01"	"ER29_01"	"ER30_01"	"ER31_01"	"ER32_01"	"ER33_01"	"ER34_01"	"ER35_01"	"ER36_01"	"ER37_01"	"ER38_01"	"ER39_01"	"ER40_01"	"ER41_01"	"ER42_01"	"ER43_01"	"ER44_01"	"ER45_01"	"ER46_01"	"ER47_01"	"ER48_01"	"ER49_01"	"ER50_01"	"ER51_01"	"ER52_01"	"ER53_01"	"ER54_01"	"ER55_01"	"ER56_01"	"ER57_01"	"ER58_01"	"ER59_01"	"ER60_01"	"ER61_01"	"ER62_01"	"ER63_01"	"ER64_01"	"ER65_01"	"ER66_01"	"ER67_01"	"ER68_01"	"ER69_01"	"ER70_01"	"ER71_01"	"ER72_01"	"ER73_01"	"ER74_01"	"ER75_01"	"ER76_01"	"GB01_01"	"GB02_01"	"GB03_01"	"GB04_01"	"GB05_01"	"GB06_01"	"GB07_01"	"GB08_01"	"GB09_01"	"GB10_01"	"GB11_01"	"GB12_01"	"GB13_01"	"GB14_01"	"GB15_01"	"GB16_01"	"GB17_01"	"GB18_01"	"GB19_01"	"GB20_01"	"GB21_01"	"GB22_01"	"GB23_01"	"GB24_01"	"GB25_01"	"GB26_01"	"GB27_01"	"GB28_01"	"GB29_01"	"GB30_01"	"GB31_01"	"GB32_01"	"GB33_01"	"GB34_01"	"GB35_01"	"GB36_01"	"GB37_01"	"GB38_01"	"GB39_01"	"GB40_01"	"GB41_01"	"GB42_01"	"GB43_01"	"GB44_01"	"GB45_01"	"GB46_01"	"GB47_01"	"GB48_01"	"GB49_01"	"GB50_01"	"GB51_01"	"GB52_01"	"GB53_01"	"GB54_01"	"GB55_01"	"GB56_01"	"GB57_01"	"GB58_01"	"GB59_01"	"GB60_01"	"GB61_01"	"GB62_01"	"GB63_01"	"GB64_01"	"GB65_01"	"GB66_01"	"GB67_01"	"GB68_01"	"GB69_01"	"GB70_01"	"GB71_01"	"GB72_01"	"GB73_01"	"GB74_01"	"GB75_01"	"GB76_01"	"GO01_01"	"GO02_01"	"GO03_01"	"GO04_01"	"GO05_01"	"GO06_01"	"GO07_01"	"GO08_01"	"GO09_01"	"GO10_01"	"GO11_01"	"GO12_01"	"GO13_01"	"GO14_01"	"GO15_01"	"GO16_01"	"GO17_01"	"GO18_01"	"GO19_01"	"GO20_01"	"GO21_01"	"GO22_01"	"GO23_01"	"GO24_01"	"GO25_01"	"GO26_01"	"GO27_01"	"GO28_01"	"GO29_01"	"GO30_01"	"GO31_01"	"GO32_01"	"GO33_01"	"GO34_01"	"GO35_01"	"GO36_01"	"GO37_01"	"GO38_01"	"GO39_01"	"GO40_01"	"GO41_01"	"GO42_01"	"GO43_01"	"GO44_01"	"GO45_01"	"GO46_01"	"GO47_01"	"GO48_01"	"GO49_01"	"GO50_01"	"GO51_01"	"GO52_01"	"GO53_01"	"GO54_01"	"GO55_01"	"GO56_01"	"GO57_01"	"GO58_01"	"GO59_01"	"GO60_01"	"GO61_01"	"GO62_01"	"GO63_01"	"GO64_01"	"GO65_01"	"GO66_01"	"GO67_01"	"GO68_01"	"GO69_01"	"GO70_01"	"GO71_01"	"GO72_01"	"GO73_01"	"GO74_01"	"GO75_01"	"GO76_01"	"PI01_01"	"PI02_01"	"PI03_01"	"PI04_01"	"PI05_01"	"PI06_01"	"PI07_01"	"PI08_01"	"PI09_01"	"PI10_01"	"PI11_01"	"PI12_01"	"PI13_01"	"PI14_01"	"PI15_01"	"PI16_01"	"PI17_01"	"PI18_01"	"PI19_01"	"PI20_01"	"PI21_01"	"PI22_01"	"PI23_01"	"PI24_01"	"PI25_01"	"PI26_01"	"PI27_01"	"PI28_01"	"PI29_01"	"PI30_01"	"PI31_01"	"PI32_01"	"PI33_01"	"PI34_01"	"PI35_01"	"PI36_01"	"PI37_01"	"PI38_01"	"PI39_01"	"PI40_01"	"PI41_01"	"PI42_01"	"PI43_01"	"PI44_01"	"PI45_01"	"PI46_01"	"PI47_01"	"PI48_01"	"PI49_01"	"PI50_01"	"PI51_01"	"PI52_01"	"PI53_01"	"PI54_01"	"PI55_01"	"PI56_01"	"PI57_01"	"PI58_01"	"PI59_01"	"PI60_01"	"PI61_01"	"PI62_01"	"PI63_01"	"PI64_01"	"PI65_01"	"PI66_01"	"PI67_01"	"PI68_01"	"PI69_01"	"PI70_01"	"PI71_01"	"PI72_01"	"PI73_01"	"PI74_01"	"PI75_01"	"PI76_01"	"DI01_01"	"DI02_01"	"DI03_01"	"DI04_01"	"DI05_01"	"DI06_01"	"DI07_01"	"DI08_01"	"DI09_01"	"DI10_01"	"DI11_01"	"DI12_01"	"DI13_01"	"DI14_01"	"DI15_01"	"DI16_01"	"DI17_01"	"DI18_01"	"DI19_01"	"DI20_01"	"DI21_01"	"DI22_01"	"DI23_01"	"DI24_01"	"DI25_01"	"DI26_01"	"DI27_01"	"DI28_01"	"DI29_01"	"DI30_01"	"DI31_01"	"DI32_01"	"DI33_01"	"DI34_01"	"DI35_01"	"DI36_01"	"DI37_01"	"DI38_01"	"DI39_01"	"DI40_01"	"DI41_01"	"DI42_01"	"DI43_01"	"DI44_01"	"DI45_01"	"DI46_01"	"DI47_01"	"DI48_01"	"DI49_01"	"DI50_01"	"DI51_01"	"DI52_01"	"DI53_01"	"DI54_01"	"DI55_01"	"DI56_01"	"DI57_01"	"DI58_01"	"DI59_01"	"DI60_01"	"DI61_01"	"DI62_01"	"DI63_01"	"DI64_01"	"DI65_01"	"DI66_01"	"DI67_01"	"DI68_01"	"DI69_01"	"DI70_01"	"DI71_01"	"DI72_01"	"DI73_01"	"DI74_01"	"DI75_01"	"DI76_01"	"BA01_01"	"BA02_01"	"BA03_01"	"BA04_01"	"BA05_01"	"BA06_01"	"BA07_01"	"BA08_01"	"BA09_01"	"BA10_01"	"BA11_01"	"BA12_01"	"BA13_01"	"BA14_01"	"BA15_01"	"BA16_01"	"BA17_01"	"BA18_01"	"BA19_01"	"BA20_01"	"BA21_01"	"BA22_01"	"BA23_01"	"BA24_01"	"BA25_01"	"BA26_01"	"BA27_01"	"BA28_01"	"BA29_01"	"BA30_01"	"BA31_01"	"BA32_01"	"BA33_01"	"BA34_01"	"BA35_01"	"BA36_01"	"BA37_01"	"BA38_01"	"BA39_01"	"BA40_01"	"BA41_01"	"BA42_01"	"BA43_01"	"BA44_01"	"BA45_01"	"BA46_01"	"BA47_01"	"BA48_01"	"BA49_01"	"BA50_01"	"BA51_01"	"BA52_01"	"BA53_01"	"BA54_01"	"BA55_01"	"BA56_01"	"BA57_01"	"BA58_01"	"BA59_01"	"BA60_01"	"BA61_01"	"BA62_01"	"BA63_01"	"BA64_01"	"BA65_01"	"BA66_01"	"BA67_01"	"BA68_01"	"BA69_01"	"BA70_01"	"BA71_01"	"BA72_01"	"BA73_01"	"BA74_01"	"BA75_01"	"BA76_01"	"SC01_01"	"SC02_01"	"SC03_01"	"DF01_01"	"DF02"	"DF04"	"DF04_04"	"DF05"	"DF05_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
169			"base"	"interview"	2018-04-19 13:28:26	4	0	25	52	75	69	68	30	43	8	5	19					"Auto ist liegen geblieben"			"Verletzte Person will Hilfe vom vorbeifahrenden Auto."											"Person stößt sich das Knie an Kiste"						"Person ist von Fahrrad gefallen"					"Feuer und eine Person die sich davor fürchtet"													"Person 1 wurde von Person 2 niedergestochen und liegt nun in einer Blutlache."									"Person hat Angst vor großer Spinne."																"Niedergeschlagene Person"	"Niedergeschlagene, traurige Person"						"Person schiebt liegengebliebenes Auto an? Oder muss sich am Auto stützen?"						5			5											7						5					6													7									5																5	6						1						1			2											5						2					2													5									1																1	1						1						3			5											3						4					7													7									6																4	4						2						2			3											5						7					2													1									5																7	6						7						3			5											1						5					6													5									2																5	5						1						1			2											1						1					1													3									1																1	1						1					22	1	2		1		25	6	9	436	6	10		492		2018-04-19 13:36:38	T	F	6	6	4	4	1.46	95
170			"base"	"interview"	2018-04-19 13:28:34	4	0	12	41	67	3	74	70	39	64	14	10			"Autounfall"							"Angriff mit Schusswaffe "		"ein Überfall "		"Attacke mit einer Stichwaffe"																									"Leitersturz"		"verletzte Person und Ersthelfer "																							"Verletzung am Bein "			"abgetrente oder verletzte Hand "			"Hilfebedürfige Person nach einem Unfall, verliert aufgrund einer  Verletzung Blut "				"Gespräch zweiter Personen "					6							7		3		7																									7		2																							7			6			7				3					1							7		7		7																									1		1																							1			1			1				1					7							7		7		7																									7		7																							7			7			7				1					1							1		1		1																									1		4																							1			1			1				7					7							7		7		7																									7		7																							7			7			7				1					1							1		1		1																									1		1																							1			1			1				4			"Insbesondere bei den gezeigten Situationen, die Waffengewalt beinhalten, ist die frage nicht ob ich mich blamieren würde, sondern eher ob ich angst hätte, selbst in Gefahr zu geraten und deshalb nicht aktiv eingreifen würde. "	"Nein"		23	2	2		1		54	10	15	810	219	21		1129		2018-04-19 13:47:23	T	F	6	6	1	1	0.59	0
173			"base"	"interview"	2018-04-19 13:40:14	4	0	62	73	26	34	29	1	71	23	57	59	"Person wurde erschossen"																						"Person fällt vom Fahrrad"			"Fahrradunfall, Person ist verletzt"			"Person ist vom Fahrrad gefallen"					"Person ist geld runtergefallen"																							"Person kippt mit dem Stuhl"		"Person stolpert auf der Treppe"			"Person fällt hin "									"Person sitzt auf dem Boden"		"Person kniet und davor eine schüssel"				5																						7			7			6					6																							5		7			6									3		1				5																						1			1			1					1																							1		1			2									1		1				7																						7			7			7					4																							7		7			6									3		4				6																						1			1			5					4																							7		1			7									7		4				4																						7			6			5					2																							5		7			5									3		4				1																						1			2			2					4																							3		1			1									5		4				"Nein. 
Manche Bilder kann man verschieden auslegen "	"Ja "	"Was sehe ich als gefährliche Situation an "	20	1	2		1		17	13	7	2069	63	14		707		2018-04-19 14:16:38	T	F	6	6	0	0	0.9	8
176			"base"	"interview"	2018-04-19 14:04:02	-9	0	35	72	47	36	54	37	11	76	20	32											"Person wird bedroht "									"Person stolpert vor einen Bus "												"Kiste stürzt auf Person "			"Person wird von kerzenständer erschlagen oder wirft ihn hoch"	"Person versucht kiste nicht fallen zu assen "	"Person trägt eindeutig zu viele Kisten "										"Person schießt andere Person an"							"Person rennt vor Spinne weg"																		"Person merkt dass es schon spät ist "				"Person muss liegen gebliebenes auto schieben "											5									7												7			4	7	7										7							2																		6				7											6									4												3			1	5	7										7							5																		1				2											6									7												7			5	2	7										7							4																		4				5											4									1												2			6	4	1										1							7																		4				1											6									7												7			3	6	7										5							2																		1				6											6									3												1			1	6	4										4							6																		1				6	"Die Fragen waren immer identisch die Situation auf den Bildern immer unterschiedlich.
Die Bilder waren ausschließlich auf eine Person/en und einen Gegenstand bezogen. Umgebung gab es zum bewerten der Situation nicht. "	"Nein"	"Unklarheiten der Situation durch nüchterne Darstellung. Umgebung ist in manchen Fällen wichtig um eine Situation besser einschätzen zu können. "	22	1	3		1		8	13	16	1291	214	15		1557		2018-04-19 14:29:59	T	F	6	6	1	1	0.7	1
181			"base"	"interview"	2018-04-19 14:13:24	4	0	66	16	44	17	65	28	27	23	52	36																"Zwei Personen haben eine körperliche Auseinandersetzung. "	"Jemandem fällt etwas auf den Kopf. "						"Jemand fällt gerade vom Fahrrad. "				"Jemand ist vom Fahrrad gefallen. "	"Jemand hatte einen Fahrradunfall. "								"Jemand transportiert Kisten. "								"Jemand wird verprügelt. "								"Jemand hat Angst vor einer Spinne. "													"Jemand liegt in seinem Erbrochenem. "	"Jemandem fällt etwas runter. "																										3	5						3				3	5								7								2								7													3	7																										6	1						5				1	1								1								5								1													2	3																										7	7						7				5	7								5								7								1													7	6																										2	5						6				4	2								7								2								3													2	7																										7	2						7				5	7								5								7								1													7	6																										1	1						1				1	1								1								1								1													1	1											"Nein. "	"Nein. "	"Situationen einschätzen hinsichtlich der Gefahr. "	21	1	2		1		28	9	16	523	34	12		622		2018-04-19 14:23:47	T	F	6	6	0	0	1.1	13
187			"base"	"interview"	2018-04-19 14:57:40	4	1	48	18	44	59	43	47	40	32	75	29																		"Eine Person wirft bzw fängt Kartons"											"Person ist vom Fahrrad gestürzt "			"Eine Person wird von einer herabstürzenden Kiste bedroht"								"Eine Person wird von einer zweiten gefunden die wahrscheinlich um Hilfe ruft"			"Person wird von einer zweiten mit einem Messer verletzt und blutet"	"Eine Person wird von einer zweiten mit einem Stock bedroht"			"Eine Person wird von einer zweiten mit einer Waffe angeschossen und blutet "	"Eine Person wird von einer zweiten mit einer Waffe bedroht bzw angeschossen"											"Eine Person stolpert über einen Gegenstand auf einer Treppe und fällt herunter "																"Person steht am Auto und winkt jemanden zu "																			4											6			6								6			7	5			7	5											6																6																			1											1			1								1			2	2			5	1											1																1																			1											7			7								6			7	6			6	7											7																1																			3											4			1								1			1	3			1	6											1																7																			1											6			6								5			2	2			3	2											6																1																			1											1			2								2			1	2			2	2											1																1		"Immer dieselben Fragen; Bei Strichmännchen gehört zur Einschätzung die Mimik"	"Nein"	"Einschätzung und Umgang mit Notfallsituationen; Reflektion Einschätzen des   eigenen Verhalten; wegschauen oder eingreifen"	46	1	3		1		35	104	10	680	134	18		886		2018-04-19 15:14:01	T	F	6	6	0	0	0.62	2
191			"base"	"interview"	2018-04-19 15:49:03	4	1	35	76	45	25	17	64	60	5	53	72					"Eine Person will ein Auto durch eine Substanz schieben"												"Ein Kasten fällt auf eine Person. Diese guckt auf den Boden und hält zum schutz die Arme über den Kopf."								"Eine Person sizt auf dem Boden und hält dich das Knie. Das Fahrrsd steht neben dran. "										"Ein Kronleuchter fällt auf eine Person herab. Diese guckt nach oben zum Kronleuchter und hält die Arme zum Schutze vor das Gesicht. Sie weicht aber nicht aus."										"Eine Person holt mit einem Baseballschläger aus, um die andere Person zu schlagen. Die andere Person liegt schon auf dem Boden."								"Eine Persone rennt vor einem Insekt weg"							"Eine Person liegt auf dem Boden und ein Auto steht dahinter "				"Eine Person liegt mit dem Kopf nach unten auf dem Boden. Am Fuß hängt eine klebrige Substanz. Sie ist deswegen hingefallen."								"Eine Person tanzt und eine Uhr zeigt kurz vor 12 Uhr an."				"Eine Person schiebt ein Auto. Wahrscheinlich wegen Motorschaden oder fehlendem Benzin."					7												7								7										7										7								7							7				5								3				7					1												1								1										1										2								1							1				1								1				1					4												7								5										7										7								2							7				6								3				5					7												2								7										4										1								7							6				2								7				6					5												3								5										4										7								1							6				6								1				4					1												1								1										1										1								1							1				1								1				1		"Nein"	"Herauszufinden, wie Menschen alltägliche Situationen analysieren würden und wie sie sich daraufhin verhalten würden."	17	1	1		1		33	9	19	731	70	16		878		2018-04-19 16:03:41	T	F	6	6	1	1	0.77	1
192			"base"	"interview"	2018-04-19 15:49:07	4	1	13	55	33	38	39	74	3	41	26	67			"Autopanne"										"Kampf. Eine Person verteidigt ohne Waffe. Oder: Scannen beim Flughafen."													"Ggf. Sturz vom Fahrrad oder Panne mit Fahrrad"							"Mäppchen fällt auf den Boden."					"Zerstören von Sacheigentum"	"Fallen von Leiter"		"Person fällt (Ggf. aufgrund zweiter Person) hin."														"Fallen vom Stuhl"												"Person liegt aus dem Rücken"							"Warten an Bushaltestelle"					6										2													2							6					4	7		2														7												1							3					1										1													1							1					1	4		1														1												2							1					1										4													3							2					3	7		5														7												2							2					5										4													3							7					5	2		4														5												7							7					2										2													3							3					3	5		2														2												1							2					2										1													1							1					2	2		2														1												1							1			"Viele Situationen sind nicht eindeutig. Daher wäre ein Feld weiß nicht oder kann ich nicht zuordnen bei der Auswahl hilfreich."	"nein"	"Wie verschiedene Situationen von verschiedenen Individuen wahrgenommen werden. "	25	2	2		1		5	8	12	509	107	11		652		2018-04-19 15:59:59	T	F	6	6	0	0	1.16	10
197			"base"	"interview"	2018-04-19 15:59:04	4	1	21	63	54	1	50	9	14	2	34	37	"Schusd"	"Schussverletzung "							"?"					"Schlägerei "							"Unfall"													"Geldbörse runter gefallen "			"Pakete balancieren "													"Mann fällt von Schrank "				"Angst"									"Schwer verletzt "														5	7							1					6							5													7			7													7				7									7														7	7							1					5							1													1			1													1				1									1														7	7							4					7							7													1			3													7				3									7														1	1							7					1							1													5			5													1				3									1														2	3							4					4							6													7			7													7				3									7														1	1							1					1							1													1			1													1				1									1														"Nein "	"Nein "	"Rausfinden , ob die Bilder eindeutig sind 
"	23	1	2		1		6	6	2	319	52	11		396		2018-04-19 16:05:41	T	F	6	6	0	0	1.75	63
201			"base"	"interview"	2018-04-19 16:07:04	4	1	68	22	51	34	30	55	53	62	32	35																						"Eine Person flüchtet vor einem großen Tier mit Geweih (Rotwild?). Die Haltung der Arme läßt auf Panik schließen und dass die Person nach Hilfe ruft."								"Eine Person steht vor großen Feuerflammen. Sie hat die Arme vor Schreck in die Luft gehoben."		"Eine große Kiste rutscht von einer anderen großen Kiste herunter und droht auf eine Person zu stürzen und diese womöglich zu verletzen."		"Eine Person möchte nach Geldstücken und -scheinen greifen, die zusammen mit einer Geldbörse vor der Person auf dem Boden verstreut liegen."	"Ein großer Kerzenständer mit vier großen Kerzen droht auf eine Person zu stürzen. Die Person hebt schützend die Arme in die Höhe und geht in eine gefährliche Rückenlage im Stehen."																"Eine Person möchte entweder eine Spinne verjagen oder erschlagen oder hebt erschreckt und schützend die Hände vor der Spinne in die Höhe."		"Eine Person läuft ängstlich vor einer Spinne weg."		"Ein Stuhl kippt um, auf dem eine Person sitzt. Die Person reißt erschrocken die Arme in die Höhe und versucht womöglich durch Verlagerung des Körpergewichts nach vorne den Sturz zu verhindern."							"Eine Person liegt oder kniet auf dem Boden. Sie ist entweder gesürzt oder noch im Sturz befindlich oder sie macht eine Turnübung auf dem Boden."						"Eine Person sitzt in trauriger oder nachdenklicher Position auf dem Boden, könnte aber auch etwas auf dem Boden liegendes lesen. Der Schatten auf dem Boden erschließt sich mir nicht."																														7								7		7		7	7																5		7		7							2						4																														2								7		1		1	1																1		1		1							1						1																														5								7		7		1	7																2		1		7							4						1																														2								1		1		1	1																7		5		4							7						7																														7								1		7		1	7																4		5		3							4						1																														1								1		1		1	1																2		1		1							1						3									"Das Fragen zu den Bildern waren immer dieselben."	"Nein."	"Sie könnte zum Ziel haben herauszufinden, wie ein Warnschild gestaltet sein müsste, um bei möglichst vielen Betrachtern die gleichen Assoziationen auszulösen und deren Handeln zu beeinflussen."	54	2	3		1		19	14	19	2485	239	17		901		2018-04-19 16:53:37	T	F	6	6	0	0	0.51	0
